node_id,fraud_score,if_score,lof_score,heuristic_score,risk_level,is_anomaly
tx_47403,0.684737,0.475491,0.933164,0.65,HIGH,1
tx_47530,0.679471,0.464341,0.970044,0.55,HIGH,1
tx_43493,0.677671,0.516732,0.906603,0.55,HIGH,1
tx_45998,0.675522,0.458932,0.966256,0.55,HIGH,1
tx_44746,0.664316,0.417236,0.947649,0.65,HIGH,1
tx_47962,0.662993,0.434083,0.925389,0.65,HIGH,1
tx_42077,0.655267,0.397844,0.946843,0.65,HIGH,1
tx_41112,0.653571,0.405872,0.933572,0.65,HIGH,1
tx_48252,0.648894,0.438093,0.923129,0.55,HIGH,0
tx_34168,0.648205,0.473649,0.956407,0.35,HIGH,0
tx_28442,0.647316,0.468795,0.959647,0.35,HIGH,0
tx_41078,0.646783,0.405861,0.954114,0.55,HIGH,0
tx_45126,0.646689,0.400212,0.960235,0.55,HIGH,0
tx_44167,0.645586,0.418034,0.899926,0.65,HIGH,0
tx_41165,0.645168,0.487168,0.933607,0.35,HIGH,0
tx_25701,0.645079,0.44213,0.98405,0.35,HIGH,0
tx_37098,0.644865,0.42201,0.931152,0.55,HIGH,0
tx_40062,0.64338,0.442544,0.904338,0.55,HIGH,0
tx_19865,0.642768,0.400291,0.950342,0.55,HIGH,0
tx_46825,0.64259,0.379277,0.973539,0.55,HIGH,0
tx_33019,0.642143,0.455118,0.887101,0.55,HIGH,0
tx_41345,0.640217,0.393279,0.951853,0.55,HIGH,0
tx_47230,0.637336,0.369322,0.971602,0.55,HIGH,0
tx_49848,0.636694,0.371433,0.967623,0.55,HIGH,0
tx_47737,0.636592,0.391593,0.944687,0.55,HIGH,0
tx_27679,0.636356,0.441914,0.962488,0.35,HIGH,0
tx_49366,0.635935,0.372464,0.964566,0.55,HIGH,0
tx_47978,0.635178,0.400465,0.893673,0.65,HIGH,0
tx_32254,0.633983,0.369593,0.962916,0.55,HIGH,0
tx_43256,0.633747,0.475546,0.918128,0.35,HIGH,0
tx_39450,0.633302,0.359375,0.935209,0.65,HIGH,0
tx_48269,0.633178,0.453784,0.941188,0.35,HIGH,0
tx_48395,0.632789,0.356488,0.974673,0.55,HIGH,0
tx_47731,0.632501,0.361583,0.968221,0.55,HIGH,0
tx_47399,0.632279,0.368703,0.959658,0.55,HIGH,0
tx_45915,0.632027,0.35961,0.969255,0.55,HIGH,0
tx_48415,0.631209,0.468923,0.919233,0.35,HIGH,0
tx_42035,0.631034,0.327364,0.965549,0.65,HIGH,0
tx_31264,0.630652,0.35232,0.974021,0.55,HIGH,0
tx_41098,0.629902,0.432923,0.881466,0.55,HIGH,0
tx_43478,0.629783,0.353989,0.96997,0.55,HIGH,0
tx_48852,0.629488,0.349398,0.936896,0.65,HIGH,0
tx_45148,0.629259,0.448095,0.93779,0.35,HIGH,0
tx_47408,0.629096,0.446245,0.939464,0.35,HIGH,0
tx_46847,0.628658,0.406761,0.98279,0.35,HIGH,0
tx_47867,0.628285,0.349414,0.933871,0.65,HIGH,0
tx_38093,0.628176,0.436722,0.947878,0.35,HIGH,0
tx_47300,0.628072,0.386717,0.928873,0.55,HIGH,0
tx_46234,0.627253,0.334905,0.947613,0.65,HIGH,0
tx_47389,0.626371,0.318179,0.964227,0.65,HIGH,0
tx_49223,0.626255,0.323945,0.957451,0.65,HIGH,0
tx_47163,0.626114,0.414564,0.855152,0.65,HIGH,0
tx_46970,0.625947,0.357787,0.956108,0.55,HIGH,0
tx_39348,0.625345,0.408203,0.897883,0.55,HIGH,0
tx_46074,0.625144,0.363635,0.94752,0.55,HIGH,0
tx_38690,0.624467,0.328073,0.985835,0.55,HIGH,0
tx_40037,0.624448,0.36856,0.940241,0.55,HIGH,0
tx_38586,0.623733,0.37043,0.936348,0.55,HIGH,0
tx_47200,0.62369,0.338951,0.971656,0.55,HIGH,0
tx_48271,0.62363,0.387444,0.916951,0.55,HIGH,0
tx_35515,0.623486,0.375941,0.892032,0.65,HIGH,0
tx_38354,0.622727,0.411173,0.887999,0.55,HIGH,0
tx_46216,0.622705,0.370829,0.895831,0.65,HIGH,0
tx_43879,0.622504,0.446418,0.92279,0.35,HIGH,0
tx_34524,0.622465,0.397738,0.977457,0.35,HIGH,0
tx_48244,0.622395,0.371224,0.93211,0.55,HIGH,0
tx_24184,0.621985,0.409979,0.849986,0.65,HIGH,0
tx_44688,0.621954,0.324157,0.946459,0.65,HIGH,0
tx_47901,0.621595,0.376185,0.924528,0.55,HIGH,0
tx_48401,0.62075,0.394355,0.976976,0.35,HIGH,0
tx_19167,0.620393,0.414204,0.953752,0.35,HIGH,0
tx_39655,0.620237,0.404754,0.963993,0.35,HIGH,0
tx_47923,0.620015,0.356972,0.942193,0.55,HIGH,0
tx_34211,0.619916,0.369524,0.890326,0.65,HIGH,0
tx_46005,0.619708,0.36259,0.935105,0.55,HIGH,0
tx_49094,0.619635,0.417114,0.948585,0.35,HIGH,0
tx_42886,0.619289,0.447911,0.969323,0.2,HIGH,0
tx_6607,0.61925,0.522314,0.960522,0.0,HIGH,0
tx_4442,0.618898,0.311992,0.952503,0.65,HIGH,0
tx_14212,0.618726,0.429751,0.932094,0.35,HIGH,0
tx_21019,0.618396,0.471798,0.940217,0.2,HIGH,0
tx_44322,0.618242,0.553679,0.922716,0.0,HIGH,0
tx_40461,0.618123,0.510702,0.970767,0.0,HIGH,0
tx_34156,0.617935,0.405955,0.956888,0.35,HIGH,0
tx_35237,0.617917,0.366309,0.926446,0.55,HIGH,0
tx_49744,0.617812,0.338427,0.92005,0.65,HIGH,0
tx_44655,0.617022,0.421793,0.936786,0.35,HIGH,0
tx_48629,0.616873,0.393532,0.968208,0.35,HIGH,0
tx_43126,0.616769,0.386063,0.976353,0.35,HIGH,0
tx_36457,0.616741,0.511686,0.966205,0.0,HIGH,0
tx_48605,0.616682,0.400296,0.960122,0.35,HIGH,0
tx_48467,0.616664,0.29656,0.96428,0.65,HIGH,0
tx_48410,0.616375,0.377473,0.910031,0.55,HIGH,0
tx_42429,0.616312,0.338751,0.953435,0.55,HIGH,0
tx_46608,0.616278,0.42728,0.928755,0.35,HIGH,0
tx_43664,0.616266,0.367227,0.921285,0.55,HIGH,0
tx_47714,0.616256,0.431688,0.923741,0.35,HIGH,0
tx_45011,0.61622,0.327241,0.966154,0.55,HIGH,0
tx_16887,0.615683,0.415255,0.940797,0.35,HIGH,0
tx_37620,0.615456,0.43498,0.918038,0.35,HIGH,0
tx_28270,0.615355,0.372124,0.875998,0.65,HIGH,0
tx_21186,0.615346,0.529646,0.942514,0.0,HIGH,0
tx_3431,0.614544,0.517516,0.954155,0.0,HIGH,0
tx_32089,0.614381,0.350699,0.935167,0.55,HIGH,0
tx_38583,0.614108,0.432406,0.842563,0.55,HIGH,0
tx_8814,0.614089,0.411679,0.940833,0.35,HIGH,0
tx_41858,0.614017,0.392048,0.887738,0.55,HIGH,0
tx_20817,0.614015,0.376175,0.868089,0.65,HIGH,0
tx_9432,0.613985,0.525457,0.943824,0.0,HIGH,0
tx_43275,0.613943,0.349596,0.935313,0.55,HIGH,0
tx_34488,0.613658,0.390591,0.963479,0.35,HIGH,0
tx_48793,0.613626,0.32563,0.961481,0.55,HIGH,0
tx_43964,0.61346,0.382559,0.89702,0.55,HIGH,0
tx_47249,0.613448,0.331303,0.954653,0.55,HIGH,0
tx_35338,0.613226,0.351382,0.93151,0.55,HIGH,0
tx_47507,0.613203,0.395849,0.956429,0.35,HIGH,0
tx_32987,0.612818,0.344793,0.937903,0.55,HIGH,0
tx_49587,0.612586,0.332497,0.913655,0.65,HIGH,0
tx_44970,0.612512,0.337024,0.945877,0.55,HIGH,0
tx_35780,0.612476,0.442458,0.902175,0.35,HIGH,0
tx_49083,0.612456,0.333999,0.949141,0.55,HIGH,0
tx_43536,0.612445,0.413116,0.935107,0.35,HIGH,0
tx_38806,0.612341,0.367066,0.911653,0.55,HIGH,0
tx_47394,0.612242,0.326235,0.957341,0.55,HIGH,0
tx_35547,0.612185,0.381409,0.970126,0.35,HIGH,0
tx_49636,0.611769,0.43665,0.906942,0.35,HIGH,0
